« THIS FILE IS NOT THE TRACKER. NOTHING HERE IS A CORPUS FACT. »
« It is a dated cross-reference of ONE public aggregator (CryptoJobsList, https://cryptojobslist.com/crypto-layoffs, fetched 2026-08-07 HTTP 200, page footer 'Updated August 2026') against 2026-layoff-tracker.csv (19 rows at time of writing). »
« PURPOSE: execute the measurable half of watch (n) — the corpus has never known its own class-5 recall. Now it does. »
« STANDING RULE HONOURED (Exodus row, 2026-08-01): CryptoJobsList per-firm FIGURES ARE NOT IMPORTED AS CORPUS ROWS. The aggregator is community-submittable ('Submit a layoff') and self-describes as 'public announcements, news and community reports'. Every figure below is AGGREGATOR-REPORTED. »
« PROMOTION RULE: a NET-NEW-CANDIDATE row may enter 2026-layoff-tracker.csv only after its own primary/near-primary source is fetched and read, exactly as every existing row was. NONE HAVE BEEN. »
« HEADLINE MEASURE: aggregator lists 54 rows / 50 companies / 7,294+ jobs for 2026. Corpus holds 19. RECALL AGAINST THIS ONE PUBLIC SOURCE = 19/54 = 35%. Six of the 35 unheld rows name TRACKED Stratum 1-2 firms. »
status,firm,cohort,agg_date,agg_jobs_cut,agg_pct,agg_reason,agg_source_col,corpus_row_date,note
NET-NEW-CANDIDATE,Ethereum Foundation,PERIMETER,2026-06-23,-54,-20%,Restructuring,Ethereum Foundation,,"*** CORROBORATES AN EXISTING FLAGGED-BUT-UNENTERED CLAIM. *** The FalconX row (added 08-05) flagged 'a claimed Ethereum Foundation -20% workforce reduction — single-sourced inside an AI-assisted aggregator piece, no date, no primary. [VERIFY] before it is ever entered.' This supplies the date (06-23), the headcount (54) and a first-party source attribution. Second independent appearance. [VERIFY] at ethereum.org/blog."
NET-NEW-CANDIDATE,OSL,PERIMETER,2026-06-19,-400,,Restructuring,NONE,,Large figure with an EMPTY source column. [VERIFY] or discard.
NET-NEW-CANDIDATE,LBank,PERIMETER,2026-06-18,-100,-10%,AI pivot,lbank.com,,First-party source column. [VERIFY].
NET-NEW-CANDIDATE,Matter Labs,PERIMETER,2026-06-17,,,Restructuring,Crypto Potato/X,,[VERIFY].
NET-NEW-CANDIDATE,Keyrock,PERIMETER,2026-06-15,-60,-30%,Restructuring,NONE,,Empty source column. [VERIFY] or discard.
NET-NEW-CANDIDATE,Dune,PERIMETER,2026-05-14,-40,-25%,AI pivot,The Block/X.com,,"AI-framed May row at a crypto-data firm — the same category as Messari. [VERIFY]."
NET-NEW-CANDIDATE,SQD,PERIMETER,2026-04-29,-4,,Restructuring,NONE,,Empty source column; trivial scale. Low priority.
NET-NEW-CANDIDATE,Zonadcrypto,PERIMETER,2026-04-21,,,Market conditions,TVP World,,[VERIFY].
NET-NEW-CANDIDATE,CoinLens,PERIMETER,2026-04-21,-9,-33%,Market conditions,NONE,,Empty source column. Low priority.
NET-NEW-CANDIDATE,Scroll,PERIMETER,2026-04-14,,,Market conditions,CoinDesk,,L2. CoinDesk-sourced. [VERIFY].
NET-NEW-CANDIDATE,StarkWare,PERIMETER,2026-04-13,-40,-30%,Restructuring,Protos/ForkLog+17,,L2. Well-corroborated column (+17 sources). [VERIFY].
NET-NEW-CANDIDATE,BTC Markets,PERIMETER,2026-04-09,,,Market conditions,MSN,,[VERIFY].
NET-NEW-CANDIDATE,Swyftx,PERIMETER,2026-04-09,,-15%,Market conditions,Startup Daily/Information Age,,[VERIFY].
NET-NEW-CANDIDATE,Quidax,PERIMETER,2026-03-26,,,Restructuring,TechCabal,,[VERIFY].
NET-NEW-CANDIDATE,PIP Labs (Story Protocol),PERIMETER,2026-03-20,-8,-10%,Restructuring,SpazioCrypto,,"The 08-06 run grepped the repo for 'pip labs' during dedup and found nothing — i.e. it was already suspected and never resolved. Now dated. [VERIFY]."
NET-NEW-CANDIDATE,Zap Africa,PERIMETER,2026-03-02,,-44%,Market conditions,TechCabal,,[VERIFY].
NET-NEW-CANDIDATE,Web3 Foundation,PERIMETER,2026-02-02,,-65%,Market conditions,NONE,,Largest percentage in the table with an EMPTY source column. [VERIFY] or discard.
NET-NEW-CANDIDATE,Entropy,PERIMETER,2026-01-25,,,Market conditions,TradingView,,[VERIFY].
NET-NEW-CANDIDATE,MoonPay,PERIMETER,2026-01-16,,,Restructuring,thestreet.com,,[VERIFY].
NET-NEW-CANDIDATE,Berachain,PERIMETER,2026-01-15,,,Market conditions,KuCoin+1,,[VERIFY].
NET-NEW-CANDIDATE,MANTRA,PERIMETER,2026-01-14,,,Market conditions,Yellow.com/The Block+10,,[VERIFY].
