firm_slug,stratum,class1_status,evidence,upstream_feed_status,known_ats_or_careers_url,audit_date,notes
tether,4,IN-FEED-TRUE-ABSENCE,no job-postings CSV; no _absence.csv row; no fetch_error; no entry in jobs_seen,"IN scanner config: Tether, ats=recruitee, slug=tether — scanned successfully, zero roles passing the marketing/seniority filter",https://tether.recruitee.com,2026-07-30,"Scanned by the upstream feed without error and produced no qualifying marketing role. This is ABSENCE AS DATA in the methodology's intended sense — the instrument looked and found nothing — as distinct from the instrument not looking. Only recruitee-ats firm in the scanner config (n=1), so its adapter has the thinnest evidence base of any in the feed. Zero qualifying roles is plausible but rests on a single-firm adapter. [VERIFY] the recruitee adapter against a known-good board before treating this absence as strong."
gemini,1,COVERED (NEW 2026-07-30),job-postings/gemini.csv created this run,"IN scanner config: Gemini, ats=greenhouse, slug=gemini — produced 1 net-new qualifying role 2026-07-29",https://www.gemini.com/careers,2026-07-30,"*** THE FIRM THAT FALSIFIED YESTERDAY'S DIAGNOSIS. *** Recorded 2026-07-29 as 'SILENT — invisible in both directions' with the note that the instrument 'never recorded it as an absence at all.' On 2026-07-30 it produced a URL-verified greenhouse posting (Predictions Partnerships Marketing Lead, New York, posted 2026-07-29). The feed could see it the whole time; there was simply nothing to report until there was. Cross-class: Gemini exited UK/EU/AU on 2026-02-05 and redirected resources to Gemini Predictions — and the first marketing seat the corpus ever captures at this firm is a PREDICTIONS seat, in New York."
aave,2,ABSENCE-RECORDED,_absence.csv api-fetch-error,IN scanner config; lever slug 404s — correctly surfaced as a fetch_error,https://api.lever.co/v0/postings/aave,2026-07-30,"Correct behaviour by the instrument: in the feed, fails loudly, recorded as absence. This is what the other failure modes should look like."
binance,1,ABSENCE-RECORDED,_absence.csv proprietary-ATS/needs-chrome,IN scanner config as proprietary; in _chrome-queue.csv,https://www.binance.com/en/careers/job-openings,2026-07-30,Correct behaviour by the instrument.
htx,1,ABSENCE-RECORDED,_absence.csv proprietary-ATS/needs-chrome,IN scanner config as proprietary; in _chrome-queue.csv,https://www.htx.com/en-us/crm/market-recruitment,2026-07-30,Correct behaviour by the instrument.
metamask-consensys,3,ABSENCE-RECORDED,_absence.csv proprietary-ATS/needs-chrome,IN scanner config as proprietary (ConsenSys); in _chrome-queue.csv,https://consensys.io/open-roles,2026-07-30,Greenhouse-embedded; slug fix pending upstream.
bybit,1,COVERED+ABSENCE,job-postings/bybit.csv AND _absence.csv row,IN scanner config as proprietary; in _chrome-queue.csv,https://jobs.bybitglobal.com/social-recruitment/bybit/,2026-07-30,Historic CSV plus current proprietary-ATS absence row.
kucoin,1,COVERED+ABSENCE,job-postings/kucoin.csv AND _absence.csv row,IN scanner config as proprietary; in _chrome-queue.csv,https://hire-r1.mokahr.com/social-recruitment/kcareers/100000192,2026-07-30,Historic CSV plus current proprietary-ATS absence row.
ava-labs,2,COVERED,job-postings/ava-labs.csv,IN scanner config; scanned; has produced qualifying roles,,2026-07-30,
bitpanda,1,COVERED,job-postings/bitpanda.csv,IN scanner config; scanned; has produced qualifying roles,,2026-07-30,
bitstamp,1,COVERED,job-postings/bitstamp.csv,IN scanner config; scanned; has produced qualifying roles,https://bitstamp.workable.com/,2026-07-30,Brand now 'Bitstamp by Robinhood' (watch u) — defeats name-keyed sweeps; class-1 coverage unaffected.
coinbase,1,COVERED,job-postings/coinbase.csv,IN scanner config; scanned; has produced qualifying roles,,2026-07-30,
crypto-com,1,COVERED,job-postings/crypto-com.csv,IN scanner config; scanned; has produced qualifying roles,,2026-07-30,
kraken,1,COVERED,job-postings/kraken.csv,IN scanner config; scanned; has produced qualifying roles,,2026-07-30,"Two Director, Paid Marketing reqs 2026-07-23 remain the most recent class-1 event before today."
optimism,2,COVERED,job-postings/optimism.csv,IN scanner config; scanned; has produced qualifying roles,https://jobs.ashbyhq.com/oplabs,2026-07-30,
phantom,3,COVERED,job-postings/phantom.csv,IN scanner config; scanned; has produced qualifying roles,,2026-07-30,
solana,2,COVERED,job-postings/solana.csv,IN scanner config; scanned; has produced qualifying roles,https://jobs.solana.com/companies/solana-foundation-2,2026-07-30,Getro board; in _chrome-queue.csv with status 'ingested'.
